work,location,time post,applications,description
Student Assistant with focus on Web Development with Python and JavaScript,"Fraunhofer Karriere Berlin, Berlin, Deutschland Vor Ort",Vor 1 Monat,28 Bewerbungen,"Excellence in applied research and development for manufacturing companies – this is what the Fraunhofer Institute for Production Systems und Design Technology IPK in Berlin has stood for over 35 years. What does that mean? We support companies with innovation, from product development to the production process, maintenance of capital goods and recycling of products to the design and management of factory operations.

In the division of Corporate Management, we work on the design and implementation of innovative concepts for value creation processes in companies, management, and the development of methods and software tools to support corporate planning and control.

You think that combining studies, practice and research is not possible? You can! With us you will apply the contents of your studies in research and consulting projects and gain valuable practical experience. Curious? Then apply today!

Was Sie bei uns tun
As part of a small, agile team of developers, you will further develop existing software solutions in the area of process management.
You will support the requirements elicitation and presentation of functionalities within the scope of industry and research projects.
You will develop and implement solutions independently.

Was Sie mitbringen
You are currently studying (Bachelor or Master) Computer Science, Business Informatics or comparable subjects, or you are a student of other disciplines with relevant experiences in software development.
You have good language skills (oral and written) in English (B2 at least) and German (A1 at least).
You have experience with Python, JavaScript and preferably Docker and MySQL.
You have experience with web development.
You are confident in working with Git / GitLab.
You bring diligence and reliability, but also commitment and team spirit.

Was Sie erwarten können
We value flexible working hours, independent work and room for your own ideas.
You need a topic for a thesis? No problem! Together we will find one.

We value and promote the diversity of our employees' skills and therefore welcome all applications - regardless of age, gender, nationality, ethnic and social origin, religion, ideology, disability, sexual orientation and identity.

With its focus on developing key technologies that are vital for the future and enabling the commercial use of this work by business and industry, Fraunhofer plays a vital role in innovation. As a pioneer and catalyst for ground-breaking developments and scientific excellence, Fraunhofer helps shape society now and for the future.

Interested? Please apply exclusively via the recruiting portal (button ""Apply"" at the bottom right). We look forward to getting to know you!

If you have any questions, please contact:

Frau

Ramona Münich

E-Mail: ramona.muenich@ipk.fraunhofer.de

Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik IPK

www.ipk.fraunhofer.de

Kennziffer: 56899 Bewerbungsfrist:"
Internship - Deep-Learning,"Continental Berlin, Berlin, Deutschland Vor Ort",Vor 1 Woche,Mehr als 200 Bewerbungen,"Job Description

We are looking for a student (m/f/diverse) who is interested in an internship to support our project team in Berlin for a 3-month voluntary study-related internship or a mandatory internship for up to 6 months. There is also the possibility to combine a compulsory part with the voluntary study-accompanying internship.

As an intern (m/f/diverse), you will be working on investigating the application of self-supervised learning in object detection tasks for autonomous driving.

As part of the central pre-development department, our goal is to develop and enable the use of AI in future Continental products. You will work in a dedicated, innovative team of Continental employees (m/f/diverse) and Ph.D. students (m/f/diverse).

Your tasks will consist of the following:

Collaborate with our project team on the research of State-of-the-Art (SOTA) solutions
Implement self-supervised learning methods on autonomous driving datasets
Development and extension of SOTA methods for object detection tasks
Design and code the solutions, starting with broadly defined problems
Analyze the effect of self-supervised learning methods on the AI pipeline and monitor its performance during training process

Job Requirements

Currently enrolled in a bachelor’s or master’s degree in computer science, machine learning or related field
Intensively worked with artificial-intelligence-related algorithms
Advanced programming skills in Python
Safe handling of MS Office-programs
Fluent in English spoken and written
Must be able to work effectively in a team environment
Independent, creative, and proactive working style
Ability to effectively articulate technical challenges and solutions
Good presentation, oral and written communication skills highly desirable

Please attach your current certificate of enrollment and also your current transcripts of records and an extract of certificate for a mandatory internship. Those documents are mandatory for processing your application.

Applications from severely handicapped people are welcome.

What We Offer

In addition to the interesting field of activity of the function, the city of Berlin offers a high recreational value and stands for quality of life

You will work in an innovative work environment, namely the ""co-working space AI Campus""

You will receive an internship remuneration according to corporate standards

Become part of our motivated team - we are looking forward to you

Job Type

Internship

Job Category

Trainee Initiatives

Division Footer Text

Ready to drive with Continental? Take the first step and fill in the online application.

About Continental

Continental develops pioneering technologies and services for sustainable and connected mobility of people and their goods. Founded in 1871, the technology company offers safe, efficient, intelligent and affordable solutions for vehicles, machines, traffic and transportation. In 2021, Continental generated sales of €33.8 billion and currently employs more than 190,000 people in 58 countries and markets. On October 8, 2021, the company celebrated its 150th anniversary.

Country

Germany

Division

Automotive Central Functions

Contact Name

Johanna Stark

Job Flexibility

Hybrid Job

Job Flexibility disclaimer

Hybrid Job – You work both mobile and on the company site"
Working Student Software Development (d/f/m),"4flow Berlin, Berlin, Deutschland Hybrid",Vor 2 Tagen,Mehr als 200 Bewerbungen,"4flow software develops a range of global standard software products for logistics and transport planning that can be used across all industries. The integrated planning approach of our software products ranges from long-term optimization of network structures to short-term optimization of transport utilization. In addition, the planning results can be combined with transport processing and invoicing to form an integrated transport management system.

What Your New Challenge Will Look Like

You are involved in the entire development process of our software – from conception to implementation and testing. You get the chance to develop software components that will be used worldwide. Your role includes:

Building microservices with Spring
Generating Automation tests
Extension and adjustment of transport planning processes in our software

Why you belong to 4flow

You are studying (business) informatics, mathematics, natural sciences, or a similar field of study
You already have experience with programming in Java and had first points of contact with Spring Boot.
Ideally, you have already worked with Eclipse and Git.
Working independently, analytical and conceptual are important to you.
You can support us for 15-20 hours a week

What We Offer

As a working student, you can flexibly arrange your working hours according to your schedule. Become part of 4flow and meet other students during the regular student’s lunch, make new connections while playing table tennis or hang out on the sunny rooftop in our modern office in Berlin. We also offer free drinks, fresh fruit, cereal and other snacks everyday. And just like that you will gain interesting insights into the work with real data and clients as well as experiencing a professional and agile software development process."
Student Assistant with focus on Full Stack Web Development,"Fraunhofer Karriere Berlin, Berlin, Deutschland Vor Ort",Vor 1 Monat,18 Bewerbungen,"Excellence in applied research and development for manufacturing companies – this is what the Fraunhofer Institute for Production Systems und Design Technology IPK in Berlin has stood for over 35 years. What does that mean? We support companies with innovation, from product development to the production process, maintenance of capital goods and recycling of products to the design and management of factory operations.

In the division of Corporate Management, we work on the design and implementation of innovative concepts for value creation processes in companies, management, and the development of methods and software tools to support corporate planning and control.

You think that combining studies, practice and research is not possible? You can! With us you will apply the contents of your studies in research and consulting projects and gain valuable practical experience. Curious? Then apply today!

Was Sie bei uns tun
As part of a small, agile team of developers, you will further develop existing software solutions in the area of process management.
You will support the requirements elicitation and presentation of functionalities within the scope of industry and research projects.
You will develop and implement solutions independently.

Was Sie mitbringen
You are currently studying (Bachelor or Master) Computer Science, Business Informatics or comparable subjects, or you are a student of other disciplines with relevant experiences in software development.
You have good language skills (oral and written) in English (B2 at least) and German (A1 at least).
You already have some experience with the MERN stack (MongoDB, Express, React, Node).
You are confident in working with Git / GitLab.
You bring diligence and reliability, but also commitment and team spirit.

Was Sie erwarten können
We offer a position initially limited to 6 months, with a monthly working time of 80 hours. However, we are looking for a longer-term cooperation.
We offer remuneration according to the general works agreement for employing assistant staff.
We value flexible working hours, independent work and room for your own ideas.
You need a topic for a thesis? No problem! Together we will find one.

We value and promote the diversity of our employees' skills and therefore welcome all applications - regardless of age, gender, nationality, ethnic and social origin, religion, ideology, disability, sexual orientation and identity.

Die Vergütung richtet sich nach der Gesamtbetriebsvereinbarung zur Beschäftigung der Hilfskräfte.

With its focus on developing key technologies that are vital for the future and enabling the commercial use of this work by business and industry, Fraunhofer plays a vital role in innovation. As a pioneer and catalyst for ground-breaking developments and scientific excellence, Fraunhofer helps shape society now and for the future.

Interested? Please apply exclusively via the recruiting portal (button ""Apply"" at the bottom right). We look forward to getting to know you!

If you have any questions, please contact:

Frau

Ramona Münich

E-Mail: ramona.muenich@ipk.fraunhofer.de

Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik IPK

www.ipk.fraunhofer.de

Kennziffer: 56343 Bewerbungsfrist:"
Werkstudent (w/m/d) Full Stack Development,"Siemens Berlin, Berlin, Deutschland Vor Ort",Vor 2 Tagen,15 Bewerbungen,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

In deiner neuen Position als ""Werkstudent (w/m/d) Full Stack Development"" wirst Du Teil unseres Teams und unterstützt uns bei der Entwicklung neuer IT-Sicherheitslösungen.
Du unterstützt uns bei der Entwicklung einer Labor-Zugangskontrolllösung.
Als Full Stack Developer kümmerst Du dich um die Bereiche Backend, Web-Frontend und Desktop-Client.

Deine Qualifikationen – fundiert und adäquat

Du studierst Informatik, Wirtschaftsinformatik oder einen vergleichbaren Studiengang und stehst uns für 20 h/Woche zur Verfügung.
Du verfügst über vertiefte Kenntnisse in mindestens einer der folgenden Programmiersprachen: Rust, C#, C, C++.
Idealerweise hast Du erste Erfahrungen mit Linux.
Erfahrungen mit Angular sind ein Plus.
Du bringst sehr gute Deutsch- und Englischkenntnisse mit.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Werkstudent IT-Security - Team Improve (m/w/d),"DKB | Deutsche Kreditbank AG Berlin, Berlin, Deutschland Hybrid",Vor 2 Wochen,10 Bewerbungen,"DAS HAST DU

Ein abgeschlossenes Studium der (Wirtschafts-)Informatik, Wirtschaftswissenschaften oder vergleichbare IT/Digital-bezogene Ausbildung?

Hast du in der Tasche.

Erste Praxiserfahrung im Bereich IT- oder Informationssicherheit, Berechtigungsmanagement oder IT-Risikomanagement durch Praktika oder Werkstudententätigkeit?

Aber klar.

Spaß mit neuen Technologien und Plattformen (AWS, Azure, Docker, K8S)

Bei der Vorlesung war ich dabei.

Lust in die IT-Sicherheit einer Bank einzutauchen?

Wann geht’s los?

Business taugliche Deutschkenntnisse?

Na Logo!

DAS KANNST DU

Strukturiert, analytisch und selbständig arbeiten?

Und dazu immer lösungsorientiert.

Du bleibst nicht beim Problem, sondern suchst die Lösung?

Ich liebe Herausforderungen!

Mit einer offenen Persönlichkeit und Eigeninitiative überzeugen?

Und zusätzlich mit einem souveränen Auftreten!

Eigeninitiativ Themen bearbeiten, mit einer gesunden Portion Durchsetzungsfähigkeit?

Nichts leichter als das!

DAS MACHST DU
Konzepte auf aktuelle IT-Entwicklungen umschreiben.
Audits begleiten und nachhalten.
Bei Reporting Aufgaben - Layout/Automatisierung unterstützen.
Bei der Verbesserung der IT-Sec-Kommunikation und Entwicklung von Awareness Maßnahmen helfen.
Zukunftsthemen vorbereiten.
Datenverarbeitung/-aufbereitung für verschiedene Sicherheitsprozesse (Assets, Risk, Schwachstellen, Härtung, Wirksamkeitsmessung ..) z.B. durch Erstellung von Werkzeugen (Excelbasis, Schnittstellen etc.) unterstützen.
Du möchtest noch mehr wissen?"
Werkstudent IT-Security - Team Response (m/w/d),"DKB | Deutsche Kreditbank AG Berlin, Berlin, Deutschland Hybrid",Vor 2 Wochen,9 Bewerbungen,"DAS HAST DU

Ein abgeschlossenes Studium der (Wirtschafts-)Informatik, Wirtschaftswissenschaften oder vergleichbare IT/Digital-bezogene Ausbildung?

Hast du in der Tasche.

Erste Praxiserfahrung im Bereich IT- oder Informationssicherheit, Berechtigungsmanagement oder IT-Risikomanagement durch Praktika oder Werkstudententätigkeit?

Aber klar.

Spaß mit neuen Technologien und Plattformen (AWS, Azure, Docker, K8S)

Bei der Vorlesung war ich dabei.

Lust in die IT-Sicherheit einer Bank einzutauchen?

Wann geht’s los?

Business taugliche Deutschkenntnisse?

Na logo!

DAS KANNST DU

Strukturiert, analytisch und selbständig arbeiten?

Und dazu immer lösungsorientiert.

Du bleibst nicht beim Problem, sondern suchst die Lösung?

Ich liebe Herausforderungen!

Mit einer offenen Persönlichkeit und Eigeninitiative überzeugen?

Und zusätzlich mit einem souveränen Auftreten!

Eigeninitiativ Themen bearbeiten, mit einer gesunden Portion Durchsetzungsfähigkeit?

Nichts leichter als das!

DAS MACHST DU
Das Response Team bei der Dokumentation von Sicherheitsvorfällen unterstützen.
Schwachstellen niedriger Komplexität eigenständig bearbeiten.
Bei der Analyse von Sicherheitsvorfällen unterstützen.
Relevante Informationen recherchieren.
Standard Security Incidents und Alerts eigenständig bearbeiten.
Du möchtest noch mehr wissen?"
Working Student – DevOps / Integration Developer (m/f/d),"CARIAD Berlin, Berlin, Deutschland",Vor 1 Woche,41 Bewerbungen,"At CARIAD, it’s our mission to transform automotive mobility for everyone, everywhere, making it safer, more sustainable, and more comfortable in every way. To deliver on that promise, we’re building a unified technology and software platform, including a vehicle OS and cloud platform, as well as a unified architecture. As a 100% subsidiary of the Volkswagen Group, we’re developing solutions for all of its brands, including Volkswagen, Audi, and Porsche, and will bring our software to over 40 million vehicles by 2030.

Is this an easy task? Not at all! To tackle such a huge challenge, we need a great team. And that’s where you come in. You’ll join more than 5,000 CARIDIANS already working on the latest vehicle features and functions like automated driving, state-of-the-art charging technology, as well as a new digital ecosystem. Together, we’re bringing sustainable change to one of the largest companies in the world.

YOUR TEAMThe organizational unit ""IT Governance"" is responsible for defining the CARIAD IT strategy and defining, controlling and optimizing all IT processes. Our attention is satisfying our users and developers with end2end designed services and processes.

As a Working Student – Integration & DevOps Engineer/Developer, you will be responsible for the design, development and operation of functionalities and features surrounding the CARIAD-wide Enterprise Architecture Management suite. The EAM suite delivers fundamental insights into CARIAD´s IT landscape and is tightly integrated within other foundational IT systems at CARIAD. You will be the one connecting the dots and ensuring that data and information is flowing between systems. This is a high-learning job with a lot of potential to gain experience in state-of-the-art software development methods that will last a lifetime.

What You Will Do

Develop integration features for the Enterprise Architecture Management repository (REST API, Swagger, GraphQL)
Setup and develop the DevOps pipeline for the Enterprise Architecture Management repository (GitHub, Bamboo or comparable)
Develop and document scripts for automation and integration
Communicate with developers, users and managers to find the best fitting information integration solution
Drive the future of automotive by providing information excellence

Who You Are

Enrolled student in the area of computer science, information technology, software engineering or comparable
First understanding and interest in agile and modern software development methods (automation, CI/CD)
Ideally knowledge/interest in JavaScript, Python and APIs
Strong analytical understanding, ability to work in a team, above-average commitment, structured and independent work style
Fluent in English and German

NICE TO KNOW

Duration: 6 months
20 h/Week, up to 35 h/week during semester break
Remote work options
If you have further questions about the candidate journey at CARIAD, talk to Cari, our CARIAD Chatbot. Can’t see it? Check your settings or visit our FAQ"
Working Student (f/m/d) Full Stack Development,"Siemens Berlin, Berlin, Deutschland Vor Ort",Vor 2 Tagen,54 Bewerbungen,"If you really want to make a difference – make it with us

Siemens Mobility is a separately managed company of Siemens AG and has been a leading supplier in the field of mobility for over 160 years. Our core business includes rail vehicles, rail automation and electrification solutions, turnkey systems and related services. We have always been very innovative in making traveling faster, safer and more comfortable. Today, we need new solutions to new challenges such as climate change and rising populations worldwide. That's what drives us. That's why we shape mobility with passion, always being one step ahead. Through digitalization, we make infrastructures smart and create opportunities that get us from A to B sustainably and seamlessly. Our 38,200 employees are pioneers in mobility who help to keep the world moving.

Your new role – challenging and future-oriented

In your new position as ""Working Student (f/m/d) Full Stack Development"" you will become part of our team and support us in developing new IT security solutions.
You will help us to develop a lab access control solution.
You will be a Full Stack Developer taking care of backend, web frontend and desktop client.

Your Qualifications – Solid And Appropriate

You are studying computer science, information systems management or a comparable course of studies and are available for 20 h/week.
You have deeper knowledge of at least one of the following programming languages: Rust, C#, C, C++.
Ideally, you have some experience in Linux.
It is a plus if you have experience in Angular.
You have very good German and English skills.

Getting in touch with us – straightforward and direct

www.siemens.de/mobility

if you would like to find out more about Siemens before applying.

+49 (9131) 17 52430

if you wish to discuss any initial questions with our recruitment team. The contact person handling this job ad is Ms. Julia Greff.

www.siemens.com/careers

if you would like more information about jobs and careers at Siemens.

As an equal-opportunity employer we are happy to consider applications from individuals with disabilities.

Organization: Siemens Mobility

Company: Siemens Mobility GmbH

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
Pflichtpraktikum 3D-Computergrafik,"Siemens Berlin, Berlin, Deutschland Vor Ort",Vor 1 Tag,1 Bewerbung,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Du arbeitetest mit 3D Modellen sowie Rendering und erstellst fotorealistische, synthetische Trainingsdaten für KI-Modelle.
Du erfasst und strukturierst Fehlerbilder aus dem Zugumfeld.
Zudem bist Du für die prototypische Erstellung von künstlich erzeugten Fehlerbildern zuständig.
Bei uns arbeitest Du in einem internationalen Team im RnD-Bereich für Zukunftstechnologie mit.

Deine Qualifikationen – fundiert und adäquat

Du studierst Informatik, Medieninformatik, Elektrotechnik oder einen vergleichbaren technischen Studiengang.
Du besitzt Erfahrungen im Umgang mit CAD-Tools (z.B. Blender) sowie im Umgang mit Computergrafik-Engines (z.B. Unreal Engine).
Du kannst dich schnell in neue Tools und Programmiersprachen einarbeiten, wenn dies zur Lösung deiner Aufgabe erforderlich ist.
Du bist teamfähig, kreativ und hast eine selbstständige Arbeitsweise.
Die Kommunikation auf Deutsch und Englisch fällt dir leicht.
Gerne kannst Du bei uns remote arbeiten und bist nicht an den Standort Berlin gebunden.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organization: Siemens Mobility

Company: Siemens Mobility GmbH

Experience Level: Student (Not Yet Graduated)

Full / Part time: Full-time"
Werkstudent*in (w/m/d) Digitalisierung und Automatisierung,"Siemens Berlin, Berlin, Deutschland Vor Ort",Vor 2 Tagen,1 Bewerbung,"Art der Anstellung: Befristet; 16-20 Stunden/Woche

Deine Extraportion Praxis.

Wie werden wir uns übermorgen fortbewegen, miteinander kommunizieren, Energien nutzen? Lass uns gemeinsam an den Antworten arbeiten. Wir suchen dafür kluge Köpfe, die Theorie in Praxis umwandeln und clever mitdenken. Kurz: Menschen, die ihre und unsere Fragen in neue Ausrufezeichen verwandeln wollen! Als Werkstudent*in stehen dir bei uns viele Türen offen, um dich einzubringen: Ergreife die Chance und werde Teil unseres weltweiten Netzwerks, knüpfe wichtige Kontakte und lege so den Grundstein für deine berufliche und persönliche Zukunft. Unsere Teams freuen sich auf dich.

Verändere mit uns die Welt von morgen.

Du wirkst mit bei der Produkteinführung unserer Green Digital Twin Web Applikationen zur Kalkulation, Simulation und Optimierung von CO2-/Product Environmental Footprints und zur Erstellung von Life-Cyle Assessments bzw. Environmental Product Declarations
Du unterstützt uns bei Analyse von Ökobilanzierungs- und EPD-Datenbanken mittels Webcrawling, Bereitstellung einer Datenbank und Analyse/Visualisierung von Daten
Du hilfst unseren Experten im Tagesgeschäft und arbeitest mit bei der Software Entwicklung von Web Applikationen, welche in der AWS/Azure Cloud bereitgestellt werden
Du wirkst mit bei der Erstellung von Dokumentation für IT und Sicherheitskonzepte
Du hast die Möglichkeit Deine Ideen und im Studium erworbenes Fachwissen in unserem Team einzubringen und umfangreiche Praxiserfahrungen zu sammeln

Dein Profil für ""Zukunft möglich machen"".

Du studierst derzeit erfolgreich Informatik, Wirtschaftsinformatik oder eine ähnliche Fachrichtung im fortgeschrittenen Semester und stehst uns für ca. 16-20 Stunden / Woche zur Verfügung
Du besitzt Erfahrungen in der Datenbankerstellung (SQL) und Erfahrungen beim Crawling von Daten
Idealerweise hast Du bereits erste praktische Erfahrungen im Umgang mit Python und Low Code Programmierung (z.B. Mendix)
Von Vorteil sind Kenntnisse über Code Versionierung (Git) und erste Erfahrungen bezüglich Containerisierung mit Docker
Im Umgang mit MS-Office (insbesondere mit Excel) bist Du sehr sicher
Sehr gute Deutsch- und Englischkenntnisse runden Ihr Profil ab

Der Großteil der Arbeitszeit kann remote durchgeführt werden mit einzelnen Terminen am Standort

Dein kleiner Schritt in Richtung großartiger Siemens-Welt.

www.siemens.de

wenn du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

Du hast Fragen zur Bewerbung? Hier findest du Antworten auf häufig gestellte Fragen.

Wenn du darüber hinaus noch Fragen hast, wende dich gerne an uns: www.siemens.de/fragenzurbewerbung

www.siemens.de/karriere

wenn du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organization: Supply Chain Management

Company: Siemens AG

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
Werkstudent*in (w/m/d) Digitalisierung und Automatisierung,"Siemens Berlin, Berlin, Deutschland Vor Ort",Vor 2 Tagen,1 Bewerbung,"Art der Anstellung: Befristet; 16-20 Stunden/Woche

Deine Extraportion Praxis.

Wie werden wir uns übermorgen fortbewegen, miteinander kommunizieren, Energien nutzen? Lass uns gemeinsam an den Antworten arbeiten. Wir suchen dafür kluge Köpfe, die Theorie in Praxis umwandeln und clever mitdenken. Kurz: Menschen, die ihre und unsere Fragen in neue Ausrufezeichen verwandeln wollen! Als Werkstudent*in stehen dir bei uns viele Türen offen, um dich einzubringen: Ergreife die Chance und werde Teil unseres weltweiten Netzwerks, knüpfe wichtige Kontakte und lege so den Grundstein für deine berufliche und persönliche Zukunft. Unsere Teams freuen sich auf dich.

Verändere mit uns die Welt von morgen.

Du wirkst mit bei der Produkteinführung unserer Green Digital Twin Web Applikationen zur Kalkulation, Simulation und Optimierung von CO2-/Product Environmental Footprints und zur Erstellung von Life-Cyle Assessments bzw. Environmental Product Declarations
Du unterstützt uns bei Analyse von Ökobilanzierungs- und EPD-Datenbanken mittels Webcrawling, Bereitstellung einer Datenbank und Analyse/Visualisierung von Daten
Du hilfst unseren Experten im Tagesgeschäft und arbeitest mit bei der Software Entwicklung von Web Applikationen, welche in der AWS/Azure Cloud bereitgestellt werden
Du wirkst mit bei der Erstellung von Dokumentation für IT und Sicherheitskonzepte
Du hast die Möglichkeit Deine Ideen und im Studium erworbenes Fachwissen in unserem Team einzubringen und umfangreiche Praxiserfahrungen zu sammeln

Dein Profil für ""Zukunft möglich machen"".

Du studierst derzeit erfolgreich Informatik, Wirtschaftsinformatik oder eine ähnliche Fachrichtung im fortgeschrittenen Semester und stehst uns für ca. 16-20 Stunden / Woche zur Verfügung
Du besitzt Erfahrungen in der Datenbankerstellung (SQL) und Erfahrungen beim Crawling von Daten
Idealerweise hast Du bereits erste praktische Erfahrungen im Umgang mit Python und Low Code Programmierung (z.B. Mendix)
Von Vorteil sind Kenntnisse über Code Versionierung (Git) und erste Erfahrungen bezüglich Containerisierung mit Docker
Im Umgang mit MS-Office (insbesondere mit Excel) bist Du sehr sicher
Sehr gute Deutsch- und Englischkenntnisse runden Ihr Profil ab

Der Großteil der Arbeitszeit kann remote durchgeführt werden mit einzelnen Terminen am Standort

Dein kleiner Schritt in Richtung großartiger Siemens-Welt.

www.siemens.de

wenn du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

Du hast Fragen zur Bewerbung? Hier findest du Antworten auf häufig gestellte Fragen.

Wenn du darüber hinaus noch Fragen hast, wende dich gerne an uns: www.siemens.de/fragenzurbewerbung

www.siemens.de/karriere

wenn du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Supply Chain Management

Unternehmen: Siemens AG

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Working Student Software Development,Serrala Metropolregion Berlin/Brandenburg Hybrid,Vor 3 Wochen,Mehr als 200 Bewerbungen,"Working Student Software Development (m/f/d)

Your task:

Technology driven: You ensure (a faster) development of upcoming features and apps.
Your work matters: You guarantee maintenance and security standards of our mobile apps for Android.
Innovation: Do you enjoy working with innovations? Great, because your tasks also include ensuring our high-quality standards.
Work independently: You work proactively and autonomously on our mobile apps for Android.


Your profile:

Background: You are enrolled at a university in Germany and are studying in the field of computer science or a comparable course of study.
Experience: Ideally, you already have some experience in the development of Android apps. If not: No problem, we will show you!
Communication skills: Excellent spoken and written English skills complete your profile.
Last but not least: You have an irrepressible interest in developing your experience in the field of technology and can support us up to 20 hours per week? Perfect!

It’s time to become a Serralian…
Do you look forward to taking on exciting challenges in an expanding and innovative environment? We continuously improve the way we work, including modern and flexible working conditions, professional development as part of our LearnLab, joint team events such as monthly lunches, after work events, and the Serralian Base Camp. And yes, we also promote sports activities and provide organic fruit and refreshing beverages.

Next steps: Apply quickly and easily with your CV via our recruiting tool.
Pro-Tip: Skip the cover letter and pitch us in 3 sentences why exactly you are the perfect match for our team!
Your HR Contact for this position is: June G. Körner
This role is based in: Berlin

[EEO Statement]
We are proud to be an equal opportunity workplace. We celebrate and support diversity by providing equal employment opportunities regardless of race, creed, color, religion, age, sex, national origin, disability or handicap, genetics, protected veteran status, sexual orientation, gender identity or expression, arrest record, or any other characteristic protected by federal, state or local laws.

[To all recruitment agencies]
Serrala does not accept agency resumes. Please do not forward resumes to our jobs alias, Serrala employees or any other organization location. Serrala is not responsible for any fees related to unsolicited resumes."
IT Projektassistent w/m/d,"Computacenter Frankfurt am Main, Hessen, Deutschland Hybrid",Vor 2 Wochen,34 Bewerbungen,""
