Werkstudent (w/m/d) React / Mendix Frontend Developer,"Berlin, Berlin, Germany",16 hours ago,8 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Du unterstützt uns bei der Entwicklung einer Kartenapplikation auf Basis von React.
Hierbei hilfst Du uns bei der bidirektionalen Integration der React-Kartenanwendung mit einem Mendix-Backend und Snowflake-Data Warehouse.
Du hilfst beim Implementieren von Features im Low Code-Framework Mendix mit.
Zudem assistierst Du uns bei der Durchführung von Code-Reviews.
Außerdem nimmst Du am agilen Scrum-Prozess und anderen Projektmeetings teil.

Deine Qualifikationen – fundiert und adäquat

Du studierst einen technischen Studiengang z.B. (Wirtschafts-)Informatik und stehst uns für ca. 20 h/Woche zur Verfügung.
Du hast bereits fundierte Erfahrung mit dem JavaScript-Framework React (TypeScript-Version), sowie mit der Verwendung von JavaScript-Kartenkomponenten.
Zudem hast Du Interesse dich ins Low Code-Framework Mendix einzuarbeiten.
Ferner kommunizierst Du sicher auf Deutsch und Englisch.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Werkstudent Webentwicklung (Physical Security & Fraud) (m/w/d),"Berlin, Berlin, Germany",10 hours ago,1 applicant,"Best Secret GmbH

Jetzt bewerben

Über die Best Secret Group

Die BestSecret Group ist eine führende europäische Online-Destination für Premium- und Luxus-Off-Price-Mode, die nur für Mitglieder zugänglich ist. Mit einem permanenten Sortiment von rund 3.000 internationalen Marken bietet BestSecret seinen Community-Mitgliedern in ganz Europa begehrte Mode zu attraktiven Rabatten. Das einzigartige Geschäftsmodell, die technologieorientierte Denkweise und das starke Engagement für Nachhaltigkeit ermöglichen es BestSecret, seinen Kunden ein erstklassiges Einkaufserlebnis zu bieten und seinen Markenpartnern die Möglichkeit zu geben, ihre Überbestände in großem Umfang und mit geringer Sichtbarkeit zu verkaufen. Die BestSecret Group beschäftigt derzeit rund 1.700 Mitarbeitende aus über 80 Nationen. Die Gruppe kann auf eine fast 100-jährige Tradition in der Modebranche zurückblicken.

Werkstudent Webentwicklung (Physical Security & Fraud) (m/w/d)

Standort: München, Deutschland; Berlin, Deutschland; remote Deutschland;

Wir suchen eine hochmotivierte und gut organisierte Person, die unser Team als Werkstudent für Web-Entwicklung (m/w/d) im Bereich Physical Security & Fraud verstärkt. Es handelt sich um eine Teilzeitstelle, ideal für Studierende, der neben dem Studium Erfahrungen in den Bereichen Sicherheit und Web-Entwicklung sammeln möchten. Deine Hauptaufgabe wird die Unterstützung des Teams bei der Entwicklung kleinerer Webanwendungen sein.

Deine Aufgaben

Mitwirkung bei der Entwicklung von Python basierten Webanwendungen.
Unterstützung des Teams während der Anforderungserhebung.
Du wirkst aktiv bei der Gestaltung unserer Prozesse und technischen Lösungen mit, um diese auf der Basis neuster Technologien aufzubauen.
Du bist ein treibender Faktor bei der Verbesserung und Neuimplementierung bestehender Webanwendungen.
Du arbeitest aktiv mit anderen Abteilungen zusammen, um einen nahtlosen Übergang der Prozesse zu gewährleisten.

Deine Qualifikation

Du befindest dich in den letzten Semestern deines Bachelor- oder Masterstudiums in einem der MINT-Studiengänge (z. B. Informatik, Wirtschaftsinformatik, Medieninformatik, etc.) und unterstreichst mit guten Noten deine analytischen und programmiertechnischen Fähigkeiten.
Grundlegende Kenntnisse in Software-Architektur, Anforderungsanalyse und Web-Entwicklung.
Du hast Erfahrung mit python-basierten Webanwendungen und entsprechenden Frameworks (z.B. Flask, Django).
Grundlegende Erfahrung in HTML, JavaScript und CSS.
Du hast ein ausgeprägtes Verantwortungsbewusstsein und den Willen, Deine eigenen Projekte voranzutreiben.
Du verfügst über sehr gute schriftliche und mündliche Kommunikationsfähigkeiten in Deutsch (must have) sowie in Englisch (nice to have).

Unser Angebot an Dich

Werde Teil unserer Erfolgsgeschichte und arbeite in einem innovativen Arbeitsumfeld

Individuelle Weiterbildungen für deine persönliche Entwicklung

Finde eine Umgebung vor, in der du dich wohlfühlst und dich voll entfalten kannst

Tolle Mitarbeiterrabatte für deinen perfekten Style

Bleibe fit und gesund mit unseren Firmenmitgliedschaften in exklusiven Fitness- und Wellnessclubs in Deutschland

Attraktives Gehaltspaket und 30 Tage Urlaub

Hoch motivierte Kolleg:innen und eine gründliche Einarbeitungsphase

Hybrid Working ermöglicht dir eine hohe Flexibilität

Dieser Job ist genau das, was Du suchst?

Perfekt! Dann bewirb Dich noch heute.

Dein Kontakt

Mirka Tumova

BestSecret GmbH

Folge uns auf

Du kennst jemanden der perfekt auf diese Stelle passt, empfehle uns weiter

×

Teile auf Facebook
Teile auf Xing
Teile auf LinkedIn
Teile auf Twitter
Teile auf Mail
Kopieren"
Werkstudent (w/m/d) eHighway Datenanalysen,"Berlin, Berlin, Germany",1 week ago,7 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 39.600 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Als Werkstudent (w/m/d) hilfst Du uns Daten einzulesen, zu sortieren und zu bearbeiten. Dabei prüfst Du die Daten auch auf Ihre Plausibilität.
Du legst Daten in unserer AWS Cloud (Amazon S3) ab und unterstützt uns dabei einen AWS-Server aufzusetzen und zu betreuen.
Ferner wirkst Du bei der Auswertung sowie der statistischen Analyse von (Langzeit) Daten mit.
Du hilfst uns Indikatoren für die Wartung und Reparatur unserer Lösungen zu finden und zu validieren sowie Reaktionszeiten auszuwerten.
Abschließend entlastest Du deine Kollegen bei der Analyse, Modifizierung und Erweiterung bereits vorhandener Skripten.

Deine Qualifikationen – fundiert und adäquat

Du studierst Informatik oder einen vergleichbaren Studiengang und hast ein Interesse an der Analyse von Daten.
Zudem hast Du gute Kenntnisse in Matlab und mit Windows-Dateisystemen.
Du überzeugst mit ersten Erfahrungen mit Skripten, idealerweise für PowerShell, Python oder AWS Tools.
Du arbeitest dich gerne in neue Tools und Programme ein und hast idealerweise Grundkenntnisse mit Amazon S3 Service sowie mit WinSCP.
Die Kommunikation auf Deutsch und Englisch fällt dir leicht.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Working Student Software Development (d/f/m),"Berlin, Berlin, Germany",3 days ago,Over 200 applicants,"4flow software develops a range of global standard software products for logistics and transport planning that can be used across all industries. The integrated planning approach of our software products ranges from long-term optimization of network structures to short-term optimization of transport utilization. In addition, the planning results can be combined with transport processing and invoicing to form an integrated transport management system.

What Your New Challenge Will Look Like

You are involved in the entire development process of our software – from conception to implementation and testing. You get the chance to develop software components that will be used worldwide. Your role includes:

Building microservices with Spring
Generating Automation tests
Extension and adjustment of transport planning processes in our software

Why you belong to 4flow

You are studying (business) informatics, mathematics, natural sciences, or a similar field of study
You already have experience with programming in Java and had first points of contact with Spring Boot.
Ideally, you have already worked with Eclipse and Git.
Working independently, analytical and conceptual are important to you.
You can support us for 15-20 hours a week

What We Offer

As a working student, you can flexibly arrange your working hours according to your schedule. Become part of 4flow and meet other students during the regular student’s lunch, make new connections while playing table tennis or hang out on the sunny rooftop in our modern office in Berlin. We also offer free drinks, fresh fruit, cereal and other snacks everyday. And just like that you will gain interesting insights into the work with real data and clients as well as experiencing a professional and agile software development process."
Student Assistant with focus on Full Stack Web Development,"Berlin, Berlin, Germany",1 month ago,20 applicants,"Excellence in applied research and development for manufacturing companies – this is what the Fraunhofer Institute for Production Systems und Design Technology IPK in Berlin has stood for over 35 years. What does that mean? We support companies with innovation, from product development to the production process, maintenance of capital goods and recycling of products to the design and management of factory operations.

In the division of Corporate Management, we work on the design and implementation of innovative concepts for value creation processes in companies, management, and the development of methods and software tools to support corporate planning and control.

You think that combining studies, practice and research is not possible? You can! With us you will apply the contents of your studies in research and consulting projects and gain valuable practical experience. Curious? Then apply today!

Was Sie bei uns tun
As part of a small, agile team of developers, you will further develop existing software solutions in the area of process management.
You will support the requirements elicitation and presentation of functionalities within the scope of industry and research projects.
You will develop and implement solutions independently.

Was Sie mitbringen
You are currently studying (Bachelor or Master) Computer Science, Business Informatics or comparable subjects, or you are a student of other disciplines with relevant experiences in software development.
You have good language skills (oral and written) in English (B2 at least) and German (A1 at least).
You already have some experience with the MERN stack (MongoDB, Express, React, Node).
You are confident in working with Git / GitLab.
You bring diligence and reliability, but also commitment and team spirit.

Was Sie erwarten können
We offer a position initially limited to 6 months, with a monthly working time of 80 hours. However, we are looking for a longer-term cooperation.
We offer remuneration according to the general works agreement for employing assistant staff.
We value flexible working hours, independent work and room for your own ideas.
You need a topic for a thesis? No problem! Together we will find one.

We value and promote the diversity of our employees' skills and therefore welcome all applications - regardless of age, gender, nationality, ethnic and social origin, religion, ideology, disability, sexual orientation and identity.

Die Vergütung richtet sich nach der Gesamtbetriebsvereinbarung zur Beschäftigung der Hilfskräfte.

With its focus on developing key technologies that are vital for the future and enabling the commercial use of this work by business and industry, Fraunhofer plays a vital role in innovation. As a pioneer and catalyst for ground-breaking developments and scientific excellence, Fraunhofer helps shape society now and for the future.

Interested? Please apply exclusively via the recruiting portal (button ""Apply"" at the bottom right). We look forward to getting to know you!

If you have any questions, please contact:

Frau

Ramona Münich

E-Mail: ramona.muenich@ipk.fraunhofer.de

Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik IPK

www.ipk.fraunhofer.de

Kennziffer: 56343 Bewerbungsfrist:"
Werkstudent IT-Security - Team Improve (m/w/d),"Berlin, Berlin, Germany",2 weeks ago,10 applicants,"DAS HAST DU

Ein abgeschlossenes Studium der (Wirtschafts-)Informatik, Wirtschaftswissenschaften oder vergleichbare IT/Digital-bezogene Ausbildung?

Hast du in der Tasche.

Erste Praxiserfahrung im Bereich IT- oder Informationssicherheit, Berechtigungsmanagement oder IT-Risikomanagement durch Praktika oder Werkstudententätigkeit?

Aber klar.

Spaß mit neuen Technologien und Plattformen (AWS, Azure, Docker, K8S)

Bei der Vorlesung war ich dabei.

Lust in die IT-Sicherheit einer Bank einzutauchen?

Wann geht’s los?

Business taugliche Deutschkenntnisse?

Na Logo!

DAS KANNST DU

Strukturiert, analytisch und selbständig arbeiten?

Und dazu immer lösungsorientiert.

Du bleibst nicht beim Problem, sondern suchst die Lösung?

Ich liebe Herausforderungen!

Mit einer offenen Persönlichkeit und Eigeninitiative überzeugen?

Und zusätzlich mit einem souveränen Auftreten!

Eigeninitiativ Themen bearbeiten, mit einer gesunden Portion Durchsetzungsfähigkeit?

Nichts leichter als das!

DAS MACHST DU
Konzepte auf aktuelle IT-Entwicklungen umschreiben.
Audits begleiten und nachhalten.
Bei Reporting Aufgaben - Layout/Automatisierung unterstützen.
Bei der Verbesserung der IT-Sec-Kommunikation und Entwicklung von Awareness Maßnahmen helfen.
Zukunftsthemen vorbereiten.
Datenverarbeitung/-aufbereitung für verschiedene Sicherheitsprozesse (Assets, Risk, Schwachstellen, Härtung, Wirksamkeitsmessung ..) z.B. durch Erstellung von Werkzeugen (Excelbasis, Schnittstellen etc.) unterstützen.
Du möchtest noch mehr wissen?"
Werkstudent IT-Security - Team Response (m/w/d),"Berlin, Berlin, Germany",2 weeks ago,9 applicants,"DAS HAST DU

Ein abgeschlossenes Studium der (Wirtschafts-)Informatik, Wirtschaftswissenschaften oder vergleichbare IT/Digital-bezogene Ausbildung?

Hast du in der Tasche.

Erste Praxiserfahrung im Bereich IT- oder Informationssicherheit, Berechtigungsmanagement oder IT-Risikomanagement durch Praktika oder Werkstudententätigkeit?

Aber klar.

Spaß mit neuen Technologien und Plattformen (AWS, Azure, Docker, K8S)

Bei der Vorlesung war ich dabei.

Lust in die IT-Sicherheit einer Bank einzutauchen?

Wann geht’s los?

Business taugliche Deutschkenntnisse?

Na logo!

DAS KANNST DU

Strukturiert, analytisch und selbständig arbeiten?

Und dazu immer lösungsorientiert.

Du bleibst nicht beim Problem, sondern suchst die Lösung?

Ich liebe Herausforderungen!

Mit einer offenen Persönlichkeit und Eigeninitiative überzeugen?

Und zusätzlich mit einem souveränen Auftreten!

Eigeninitiativ Themen bearbeiten, mit einer gesunden Portion Durchsetzungsfähigkeit?

Nichts leichter als das!

DAS MACHST DU
Das Response Team bei der Dokumentation von Sicherheitsvorfällen unterstützen.
Schwachstellen niedriger Komplexität eigenständig bearbeiten.
Bei der Analyse von Sicherheitsvorfällen unterstützen.
Relevante Informationen recherchieren.
Standard Security Incidents und Alerts eigenständig bearbeiten.
Du möchtest noch mehr wissen?"
Working Student (f/m/d) Full Stack Development,"Berlin, Berlin, Germany",3 days ago,54 applicants,"If you really want to make a difference – make it with us

Siemens Mobility is a separately managed company of Siemens AG and has been a leading supplier in the field of mobility for over 160 years. Our core business includes rail vehicles, rail automation and electrification solutions, turnkey systems and related services. We have always been very innovative in making traveling faster, safer and more comfortable. Today, we need new solutions to new challenges such as climate change and rising populations worldwide. That's what drives us. That's why we shape mobility with passion, always being one step ahead. Through digitalization, we make infrastructures smart and create opportunities that get us from A to B sustainably and seamlessly. Our 38,200 employees are pioneers in mobility who help to keep the world moving.

Your new role – challenging and future-oriented

In your new position as ""Working Student (f/m/d) Full Stack Development"" you will become part of our team and support us in developing new IT security solutions.
You will help us to develop a lab access control solution.
You will be a Full Stack Developer taking care of backend, web frontend and desktop client.

Your Qualifications – Solid And Appropriate

You are studying computer science, information systems management or a comparable course of studies and are available for 20 h/week.
You have deeper knowledge of at least one of the following programming languages: Rust, C#, C, C++.
Ideally, you have some experience in Linux.
It is a plus if you have experience in Angular.
You have very good German and English skills.

Getting in touch with us – straightforward and direct

www.siemens.de/mobility

if you would like to find out more about Siemens before applying.

+49 (9131) 17 52430

if you wish to discuss any initial questions with our recruitment team. The contact person handling this job ad is Ms. Julia Greff.

www.siemens.com/careers

if you would like more information about jobs and careers at Siemens.

As an equal-opportunity employer we are happy to consider applications from individuals with disabilities.

Organization: Siemens Mobility

Company: Siemens Mobility GmbH

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
Werkstudent (w/m/d) System Engineering Software ETCS OBU,"Berlin, Berlin, Germany",1 week ago,3 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Als unser neuer Werkstudent (w/m/d) arbeitest Du im System Engineering der Train Control.

Du unterstützt unsere Software-Engineers dabei, sicherheitskritische Software zu konfigurieren und bringst auch deine eigenen Ideen und Vorschläge mit ein.
Zudem hilfst Du unsere Konfigurationstools weiterzuentwickeln, zu pflegen und erstellst die notwendige Dokumentation.
Du wirkst bei der Automatisierung der Konfiguration von Test Racks für ETCS OnBoard Units (OBUs) mit.

Deine Qualifikationen – fundiert und adäquat

Du studierst Informatik, Technische Informatik, Wirtschaftsinformatik oder einen vergleichbaren Studiengang und stehst uns für 20 h/Woche zur Verfügung.
Du bringst Grundkenntnisse in mindestens einer Programmiersprache mit.
Zudem bist Du sicher in MS-Office.
Idealerweise kennst Du dich bereits mit der Konfiguration integrierter Entwicklungsumgebungen (IDEs) aus, zum Beispiel den JetBrains IDEs oder VS Code.
Du interessierst dich für Softwaretests, DevOps und Infrastructure as code (IaC)
Ferner zeichnest Du dich durch eine schnelle Auffassungsgabe und Dein Kommunikationstalent aus.
Deutsch und Englisch beherrschst Du sicher in Wort und Schrift.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Werkstudent (w/m/d) Full Stack Development,"Berlin, Berlin, Germany",3 days ago,17 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

In deiner neuen Position als ""Werkstudent (w/m/d) Full Stack Development"" wirst Du Teil unseres Teams und unterstützt uns bei der Entwicklung neuer IT-Sicherheitslösungen.
Du unterstützt uns bei der Entwicklung einer Labor-Zugangskontrolllösung.
Als Full Stack Developer kümmerst Du dich um die Bereiche Backend, Web-Frontend und Desktop-Client.

Deine Qualifikationen – fundiert und adäquat

Du studierst Informatik, Wirtschaftsinformatik oder einen vergleichbaren Studiengang und stehst uns für 20 h/Woche zur Verfügung.
Du verfügst über vertiefte Kenntnisse in mindestens einer der folgenden Programmiersprachen: Rust, C#, C, C++.
Idealerweise hast Du erste Erfahrungen mit Linux.
Erfahrungen mit Angular sind ein Plus.
Du bringst sehr gute Deutsch- und Englischkenntnisse mit.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Werkstudent (w/m/d) Control Software Development,"Berlin, Berlin, Germany",2 weeks ago,32 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Als unser neuer Werkstudent (w/m/d) unterstützt Du uns bei der hardwarenahen Entwicklung von Software und Integration von Sensorik.
Bei uns wirst Du in unsere laufenden Projekte eingebunden und begleitest uns hierzu bei Testaufbauten und der Inbetriebnahme.
Du greifst uns zudem bei täglich anfallenden Aufgaben unter die Arme.

Deine Qualifikationen – fundiert und adäquat

Du studierst einen informationstechnischen Studiengang und stehst uns für ca. 15-20 h/Woche zur Verfügung.
Du bringst sehr gute Kenntnisse im Bereich Informatik mit sowie idealerweise Erfahrungen mit Sensorintegration (Lidar, Kamera) und Kalibrierung.
Vielfältige Technologiekenntnisse, vor allem Erfahrungen mit C++, Python sowie Erfahrung mit den Technologien Linux, ROS, Docker machen dich zum idealen Kandidaten (w/m/d).
Zudem arbeitest Du dich gerne in neue Software-Tools ein.
Du sprichst fließend Deutsch und hast gute Englischkenntnisse.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organization: Siemens Mobility

Company: Siemens Mobility GmbH

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
Working Student Software Development,Berlin Metropolitan Area,3 weeks ago,Over 200 applicants,"Working Student Software Development (m/f/d)

Your task:

Technology driven: You ensure (a faster) development of upcoming features and apps.
Your work matters: You guarantee maintenance and security standards of our mobile apps for Android.
Innovation: Do you enjoy working with innovations? Great, because your tasks also include ensuring our high-quality standards.
Work independently: You work proactively and autonomously on our mobile apps for Android.


Your profile:

Background: You are enrolled at a university in Germany and are studying in the field of computer science or a comparable course of study.
Experience: Ideally, you already have some experience in the development of Android apps. If not: No problem, we will show you!
Communication skills: Excellent spoken and written English skills complete your profile.
Last but not least: You have an irrepressible interest in developing your experience in the field of technology and can support us up to 20 hours per week? Perfect!

It’s time to become a Serralian…
Do you look forward to taking on exciting challenges in an expanding and innovative environment? We continuously improve the way we work, including modern and flexible working conditions, professional development as part of our LearnLab, joint team events such as monthly lunches, after work events, and the Serralian Base Camp. And yes, we also promote sports activities and provide organic fruit and refreshing beverages.

Next steps: Apply quickly and easily with your CV via our recruiting tool.
Pro-Tip: Skip the cover letter and pitch us in 3 sentences why exactly you are the perfect match for our team!
Your HR Contact for this position is: June G. Körner
This role is based in: Berlin

[EEO Statement]
We are proud to be an equal opportunity workplace. We celebrate and support diversity by providing equal employment opportunities regardless of race, creed, color, religion, age, sex, national origin, disability or handicap, genetics, protected veteran status, sexual orientation, gender identity or expression, arrest record, or any other characteristic protected by federal, state or local laws.

[To all recruitment agencies]
Serrala does not accept agency resumes. Please do not forward resumes to our jobs alias, Serrala employees or any other organization location. Serrala is not responsible for any fees related to unsolicited resumes."
